precip,snowfall,temp,timestamp,datetime
0,0,53.4,2012-03-12T23:00:00-04:00,2012-03-12 23:00:00-04:00
0,0,52.6,2012-03-13T00:00:00-04:00,2012-03-13 00:00:00-04:00
0,0,51.8,2012-03-13T01:00:00-04:00,2012-03-13 01:00:00-04:00
0,0,51,2012-03-13T02:00:00-04:00,2012-03-13 02:00:00-04:00
0,0,51.5,2012-03-13T03:00:00-04:00,2012-03-13 03:00:00-04:00
0,0,50.7,2012-03-13T04:00:00-04:00,2012-03-13 04:00:00-04:00
0,0,50.1,2012-03-13T05:00:00-04:00,2012-03-13 05:00:00-04:00
0,0,49.9,2012-03-13T06:00:00-04:00,2012-03-13 06:00:00-04:00
0,0,49.7,2012-03-13T07:00:00-04:00,2012-03-13 07:00:00-04:00
0,0,50,2012-03-13T08:00:00-04:00,2012-03-13 08:00:00-04:00
0,0,50.7,2012-03-13T09:00:00-04:00,2012-03-13 09:00:00-04:00
0,0,51.9,2012-03-13T10:00:00-04:00,2012-03-13 10:00:00-04:00
0,0,56,2012-03-13T11:00:00-04:00,2012-03-13 11:00:00-04:00
0,0,57.8,2012-03-13T12:00:00-04:00,2012-03-13 12:00:00-04:00
0,0,61.1,2012-03-13T13:00:00-04:00,2012-03-13 13:00:00-04:00
0,0,64.5,2012-03-13T14:00:00-04:00,2012-03-13 14:00:00-04:00
0,0,68.9,2012-03-13T15:00:00-04:00,2012-03-13 15:00:00-04:00
0,0,67.8,2012-03-13T16:00:00-04:00,2012-03-13 16:00:00-04:00
0,0,65.8,2012-03-13T17:00:00-04:00,2012-03-13 17:00:00-04:00
0,0,62.6,2012-03-13T18:00:00-04:00,2012-03-13 18:00:00-04:00
0,0,58.6,2012-03-13T19:00:00-04:00,2012-03-13 19:00:00-04:00
0,0,57,2012-03-13T20:00:00-04:00,2012-03-13 20:00:00-04:00
0.05,0,57.5,2012-03-13T21:00:00-04:00,2012-03-13 21:00:00-04:00
0.04,0,56.4,2012-03-13T22:00:00-04:00,2012-03-13 22:00:00-04:00
0.03,0,55.3,2012-03-13T23:00:00-04:00,2012-03-13 23:00:00-04:00
0.02,0,55,2012-03-14T00:00:00-04:00,2012-03-14 00:00:00-04:00
0.02,0,54.4,2012-03-14T01:00:00-04:00,2012-03-14 01:00:00-04:00
0.01,0,53.3,2012-03-14T02:00:00-04:00,2012-03-14 02:00:00-04:00
0,0,51.5,2012-03-14T03:00:00-04:00,2012-03-14 03:00:00-04:00
0,0,50.4,2012-03-14T04:00:00-04:00,2012-03-14 04:00:00-04:00
0,0,49.8,2012-03-14T05:00:00-04:00,2012-03-14 05:00:00-04:00
0,0,49.1,2012-03-14T06:00:00-04:00,2012-03-14 06:00:00-04:00
0,0,48.2,2012-03-14T07:00:00-04:00,2012-03-14 07:00:00-04:00
0,0,48,2012-03-14T08:00:00-04:00,2012-03-14 08:00:00-04:00
0,0,45.8,2012-03-14T09:00:00-04:00,2012-03-14 09:00:00-04:00
0,0,49,2012-03-14T10:00:00-04:00,2012-03-14 10:00:00-04:00
0,0,51.8,2012-03-14T11:00:00-04:00,2012-03-14 11:00:00-04:00
0,0,53.7,2012-03-14T12:00:00-04:00,2012-03-14 12:00:00-04:00
0,0,54.9,2012-03-14T13:00:00-04:00,2012-03-14 13:00:00-04:00
0,0,55.2,2012-03-14T14:00:00-04:00,2012-03-14 14:00:00-04:00
0,0,50.8,2012-03-14T15:00:00-04:00,2012-03-14 15:00:00-04:00
0,0,49.5,2012-03-14T16:00:00-04:00,2012-03-14 16:00:00-04:00
0,0,46.1,2012-03-14T17:00:00-04:00,2012-03-14 17:00:00-04:00
0,0,42.2,2012-03-14T18:00:00-04:00,2012-03-14 18:00:00-04:00
0,0,39.6,2012-03-14T19:00:00-04:00,2012-03-14 19:00:00-04:00
0,0,39.2,2012-03-14T20:00:00-04:00,2012-03-14 20:00:00-04:00
0,0,38.9,2012-03-14T21:00:00-04:00,2012-03-14 21:00:00-04:00
0,0,38.8,2012-03-14T22:00:00-04:00,2012-03-14 22:00:00-04:00
0,0,38.9,2012-03-14T23:00:00-04:00,2012-03-14 23:00:00-04:00
0,0,38.9,2012-03-15T00:00:00-04:00,2012-03-15 00:00:00-04:00
0,0,38.8,2012-03-15T01:00:00-04:00,2012-03-15 01:00:00-04:00
0,0,38.6,2012-03-15T02:00:00-04:00,2012-03-15 02:00:00-04:00
0,0,38.8,2012-03-15T03:00:00-04:00,2012-03-15 03:00:00-04:00
0,0,38.6,2012-03-15T04:00:00-04:00,2012-03-15 04:00:00-04:00
0,0,38.2,2012-03-15T05:00:00-04:00,2012-03-15 05:00:00-04:00
0,0,37.8,2012-03-15T06:00:00-04:00,2012-03-15 06:00:00-04:00
0,0,37.6,2012-03-15T07:00:00-04:00,2012-03-15 07:00:00-04:00
0,0,37.7,2012-03-15T08:00:00-04:00,2012-03-15 08:00:00-04:00
0,0,38,2012-03-15T09:00:00-04:00,2012-03-15 09:00:00-04:00
0,0,39,2012-03-15T10:00:00-04:00,2012-03-15 10:00:00-04:00
0,0,40,2012-03-15T11:00:00-04:00,2012-03-15 11:00:00-04:00
0,0,41.7,2012-03-15T12:00:00-04:00,2012-03-15 12:00:00-04:00
0,0,43,2012-03-15T13:00:00-04:00,2012-03-15 13:00:00-04:00
0,0,44.5,2012-03-15T14:00:00-04:00,2012-03-15 14:00:00-04:00
0,0,44.4,2012-03-15T15:00:00-04:00,2012-03-15 15:00:00-04:00
0,0,45.1,2012-03-15T16:00:00-04:00,2012-03-15 16:00:00-04:00
0,0,44.6,2012-03-15T17:00:00-04:00,2012-03-15 17:00:00-04:00
0,0,42,2012-03-15T18:00:00-04:00,2012-03-15 18:00:00-04:00
0,0,39.9,2012-03-15T19:00:00-04:00,2012-03-15 19:00:00-04:00
0,0,38.7,2012-03-15T20:00:00-04:00,2012-03-15 20:00:00-04:00
0,0,36.7,2012-03-15T21:00:00-04:00,2012-03-15 21:00:00-04:00
0,0,36.5,2012-03-15T22:00:00-04:00,2012-03-15 22:00:00-04:00
0,0,36.5,2012-03-15T23:00:00-04:00,2012-03-15 23:00:00-04:00
0,0,36.4,2012-03-16T00:00:00-04:00,2012-03-16 00:00:00-04:00
0,0,36.3,2012-03-16T01:00:00-04:00,2012-03-16 01:00:00-04:00
0,0,36.3,2012-03-16T02:00:00-04:00,2012-03-16 02:00:00-04:00
0,0,36.9,2012-03-16T03:00:00-04:00,2012-03-16 03:00:00-04:00
0,0,37,2012-03-16T04:00:00-04:00,2012-03-16 04:00:00-04:00
0,0,37.2,2012-03-16T05:00:00-04:00,2012-03-16 05:00:00-04:00
0,0,36.9,2012-03-16T06:00:00-04:00,2012-03-16 06:00:00-04:00
0,0,36.4,2012-03-16T07:00:00-04:00,2012-03-16 07:00:00-04:00
0,0,37.8,2012-03-16T08:00:00-04:00,2012-03-16 08:00:00-04:00
0,0,39,2012-03-16T09:00:00-04:00,2012-03-16 09:00:00-04:00
0,0,39.4,2012-03-16T10:00:00-04:00,2012-03-16 10:00:00-04:00
0,0,40.7,2012-03-16T11:00:00-04:00,2012-03-16 11:00:00-04:00
0,0,41.6,2012-03-16T12:00:00-04:00,2012-03-16 12:00:00-04:00
0,0,42.4,2012-03-16T13:00:00-04:00,2012-03-16 13:00:00-04:00
0,0,43.8,2012-03-16T14:00:00-04:00,2012-03-16 14:00:00-04:00
0,0,44.5,2012-03-16T15:00:00-04:00,2012-03-16 15:00:00-04:00
0,0,45.4,2012-03-16T16:00:00-04:00,2012-03-16 16:00:00-04:00
0,0,46.1,2012-03-16T17:00:00-04:00,2012-03-16 17:00:00-04:00
0,0,46.1,2012-03-16T18:00:00-04:00,2012-03-16 18:00:00-04:00
0,0,42.9,2012-03-16T19:00:00-04:00,2012-03-16 19:00:00-04:00
0,0,42.1,2012-03-16T20:00:00-04:00,2012-03-16 20:00:00-04:00
0,0,40.9,2012-03-16T21:00:00-04:00,2012-03-16 21:00:00-04:00
0,0,40.5,2012-03-16T22:00:00-04:00,2012-03-16 22:00:00-04:00
0,0,39.8,2012-03-16T23:00:00-04:00,2012-03-16 23:00:00-04:00
0,0,39.3,2012-03-17T00:00:00-04:00,2012-03-17 00:00:00-04:00
0,0,39.3,2012-03-17T01:00:00-04:00,2012-03-17 01:00:00-04:00
0,0,39,2012-03-17T02:00:00-04:00,2012-03-17 02:00:00-04:00
