Teams, Day of Week, Date, Year, Time, Venue, Attendance, Duration
Royals at Red Sox, Saturday, August 25, 2012, 7:11PM, Fenway Park, 37103, 4:31
Royals at Red Sox, Sunday, August 26, 2012, 1:38PM, Fenway Park, 37188, 3:36
Royals at Red Sox, Monday, August 27, 2012, 1:37PM, Fenway Park, 37506, 2:34
Blue Jays at Red Sox, Friday, September 7, 2012, 8:28PM, Fenway Park, 37156, 3:08
Blue Jays at Red Sox, Saturday, September 8, 2012, 7:11PM, Fenway Park, 37107, 2:55
Blue Jays at Red Sox, Sunday, September 9, 2012, 1:37PM, Fenway Park, 37226, 3:03
Yankees at Red Sox, Tuesday, September 11, 2012, 7:13PM, Fenway Park, 37437, 3:11
Yankees at Red Sox, Wednesday, September 12, 2012, 7:15PM, Fenway Park, 37230, 3:43
Yankees at Red Sox, Thursday, September 13, 2012, 7:12PM, Fenway Park, 38134, 3:11
Orioles at Red Sox, Friday, September 21, 2012, 7:11PM, Fenway Park, 37731, 3:00
Orioles at Red Sox, Saturday, September 22, 2012, 1:10PM, Fenway Park, 37570, 4:14
Orioles at Red Sox, Sunday, September 23, 2012, 1:35PM, Fenway Park, 37310, 2:53
Rays at Red Sox, Tuesday, September 25, 2012, 7:22PM, Fenway Park, 37045, 2:50
Rays at Red Sox, Wednesday, September 26, 2012, 7:25PM, Fenway Park, 37247, 3:18
